"Category","Dependency wheel series (from)","Dependency wheel series (to)","Dependency wheel series (weight)"
"highcharts-rk3iae5-2","Brazil","Portugal",5
"highcharts-rk3iae5-3","Brazil","France",1
"highcharts-rk3iae5-4","Brazil","Spain",1
"highcharts-rk3iae5-5","Brazil","England",1
"highcharts-rk3iae5-6","Canada","Portugal",1
"highcharts-rk3iae5-7","Canada","France",5
"highcharts-rk3iae5-8","Canada","England",1
"highcharts-rk3iae5-9","Mexico","Portugal",1
"highcharts-rk3iae5-10","Mexico","France",1
"highcharts-rk3iae5-11","Mexico","Spain",5
"highcharts-rk3iae5-12","Mexico","England",1
"highcharts-rk3iae5-13","USA","Portugal",1
"highcharts-rk3iae5-14","USA","France",1
"highcharts-rk3iae5-15","USA","Spain",1
"highcharts-rk3iae5-16","USA","England",5
"highcharts-rk3iae5-17","Portugal","Angola",2
"highcharts-rk3iae5-18","Portugal","Senegal",1
"highcharts-rk3iae5-19","Portugal","Morocco",1
"highcharts-rk3iae5-20","Portugal","South Africa",3
"highcharts-rk3iae5-21","France","Angola",1
"highcharts-rk3iae5-22","France","Senegal",3
"highcharts-rk3iae5-23","France","Mali",3
"highcharts-rk3iae5-24","France","Morocco",3
"highcharts-rk3iae5-25","France","South Africa",1
"highcharts-rk3iae5-26","Spain","Senegal",1
"highcharts-rk3iae5-27","Spain","Morocco",3
"highcharts-rk3iae5-28","Spain","South Africa",1
"highcharts-rk3iae5-29","England","Angola",1
"highcharts-rk3iae5-30","England","Senegal",1
"highcharts-rk3iae5-31","England","Morocco",2
"highcharts-rk3iae5-32","England","South Africa",7
"highcharts-rk3iae5-33","South Africa","China",5
"highcharts-rk3iae5-34","South Africa","India",1
"highcharts-rk3iae5-35","South Africa","Japan",3
"highcharts-rk3iae5-36","Angola","China",5
"highcharts-rk3iae5-37","Angola","India",1
"highcharts-rk3iae5-38","Angola","Japan",3
"highcharts-rk3iae5-39","Senegal","China",5
"highcharts-rk3iae5-40","Senegal","India",1
"highcharts-rk3iae5-41","Senegal","Japan",3
"highcharts-rk3iae5-42","Mali","China",5
"highcharts-rk3iae5-43","Mali","India",1
"highcharts-rk3iae5-44","Mali","Japan",3
"highcharts-rk3iae5-45","Morocco","China",5
"highcharts-rk3iae5-46","Morocco","India",1
"highcharts-rk3iae5-47","Morocco","Japan",3
"highcharts-rk3iae5-48","Japan","Brazil",1
